"EMPNO","SALARY","WORKDEPT"
"000010","52750.00","A00"
"000110","46500.00","A00"
"200010","46500.00","A00"
"000030","38250.00","C01"
"000060","32250.00","D11"
"000150","25280.00","D11"
"000200","27740.00","D11"
"000220","29840.00","D11"
"200220","29840.00","D11"
"000070","36170.00","D21"
"000240","28760.00","D21"
"000270","27380.00","D21"
"200240","28760.00","D21"
"000090","29750.00","E11"
"000280","26250.00","E11"
"200280","26250.00","E11"
"000100","26150.00","E21"
"000330","25370.00","E21"
"200330","25370.00","E21"
